to_char,powod_operatora,count,count,proc
2013-01,pogoda,1,3,0.33333333333333333333
2013-01,strajk,2,3,0.66666666666666666667
2013-02,brak powodu,7,9,0.77777777777777777778
2013-02,strajk,2,9,0.22222222222222222222
2013-03,brak powodu,2,6,0.33333333333333333333
2013-03,strajk,4,6,0.66666666666666666667
2013-04,brak powodu,2,6,0.33333333333333333333
2013-04,strajk,4,6,0.66666666666666666667
2013-05,brak powodu,3,5,0.6
2013-05,strajk,2,5,0.4
2013-06,brak powodu,8,11,0.72727272727272727273
2013-06,strajk,3,11,0.27272727272727272727
2013-07,brak powodu,41,59,0.69491525423728813559
2013-07,pogoda,2,59,0.03389830508474576271
2013-07,strajk,16,59,0.27118644067796610169
2013-08,brak powodu,25,39,0.64102564102564102564
2013-08,pogoda,4,39,0.1025641025641025641
2013-08,strajk,10,39,0.25641025641025641026
2013-09,brak powodu,64,84,0.76190476190476190476
2013-09,pogoda,3,84,0.03571428571428571429
2013-09,strajk,17,84,0.20238095238095238095
2013-10,brak powodu,294,449,0.65478841870824053452
2013-10,pogoda,32,449,0.07126948775055679287
2013-10,strajk,123,449,0.27394209354120267261
2013-11,brak powodu,154,241,0.639004149377593361
2013-11,pogoda,13,241,0.05394190871369294606
2013-11,strajk,74,241,0.30705394190871369295
2013-12,brak powodu,165,263,0.62737642585551330798
2013-12,pogoda,16,263,0.06083650190114068441
2013-12,strajk,82,263,0.3117870722433460076
2014-01,brak powodu,152,233,0.65236051502145922747
2014-01,pogoda,16,233,0.06866952789699570815
2014-01,strajk,65,233,0.27896995708154506438
2014-02,brak powodu,190,340,0.55882352941176470588
2014-02,pogoda,25,340,0.07352941176470588235
2014-02,strajk,125,340,0.36764705882352941176
2014-03,brak powodu,434,697,0.62266857962697274032
2014-03,pogoda,51,697,0.07317073170731707317
2014-03,strajk,212,697,0.30416068866571018651
2014-04,brak powodu,367,573,0.64048865619546247818
2014-04,pogoda,29,573,0.05061082024432809773
2014-04,strajk,177,573,0.30890052356020942408
2014-05,brak powodu,479,738,0.64905149051490514905
2014-05,pogoda,42,738,0.05691056910569105691
2014-05,strajk,217,738,0.29403794037940379404
2014-06,brak powodu,434,691,0.62807525325615050651
2014-06,pogoda,52,691,0.0752532561505065123
2014-06,strajk,205,691,0.29667149059334298119
2014-07,brak powodu,752,1356,0.55457227138643067847
2014-07,pogoda,113,1356,0.08333333333333333333
2014-07,strajk,491,1356,0.3620943952802359882
2014-08,brak powodu,784,1393,0.56281407035175879397
2014-08,pogoda,121,1393,0.08686288585786073223
2014-08,strajk,488,1393,0.3503230437903804738
2014-09,brak powodu,693,1225,0.56571428571428571429
2014-09,pogoda,88,1225,0.07183673469387755102
2014-09,strajk,444,1225,0.36244897959183673469
2014-10,brak powodu,528,889,0.59392575928008998875
2014-10,pogoda,54,889,0.06074240719910011249
2014-10,strajk,307,889,0.34533183352080989876
2014-11,brak powodu,431,679,0.63475699558173784978
2014-11,inne pociagi,1,679,0.0014727540500736377
2014-11,pogoda,36,679,0.05301914580265095729
2014-11,strajk,211,679,0.31075110456553755523
2014-12,brak powodu,531,856,0.62032710280373831776
2014-12,inne pociagi,4,856,0.00467289719626168224
2014-12,pogoda,60,856,0.07009345794392523364
2014-12,strajk,261,856,0.30490654205607476636
2015-01,brak powodu,1257,1909,0.65845992666317443688
2015-01,pogoda,155,1909,0.08119434258774227344
2015-01,strajk,497,1909,0.26034573074908328968
2015-02,brak powodu,887,1303,0.68073676132003069839
2015-02,pogoda,89,1303,0.06830391404451266309
2015-02,strajk,327,1303,0.25095932463545663853
2015-03,brak powodu,506,773,0.65459249676584734799
2015-03,pogoda,55,773,0.07115135834411384217
2015-03,strajk,212,773,0.27425614489003880983
2015-04,brak powodu,507,920,0.55108695652173913043
2015-04,pogoda,63,920,0.06847826086956521739
2015-04,strajk,350,920,0.38043478260869565217
2015-05,brak powodu,640,955,0.67015706806282722513
2015-05,pogoda,63,955,0.06596858638743455497
2015-05,strajk,252,955,0.2638743455497382199
2015-06,brak powodu,740,1142,0.64798598949211908932
2015-06,pogoda,73,1142,0.06392294220665499124
2015-06,strajk,329,1142,0.28809106830122591944
2015-07,brak powodu,1570,2483,0.63229963753523962948
2015-07,inne pociagi,127,2483,0.05114780507450664519
2015-07,pogoda,140,2483,0.05638340716874748288
2015-07,strajk,646,2483,0.26016915022150624245
2015-08,brak powodu,1448,2354,0.6151231945624468989
2015-08,inne pociagi,130,2354,0.05522514868309260833
2015-08,pogoda,125,2354,0.05310110450297366185
2015-08,strajk,651,2354,0.27655055225148683093
2015-09,brak powodu,1821,3318,0.54882459312839059675
2015-09,inne pociagi,501,3318,0.1509945750452079566
2015-09,pogoda,167,3318,0.05033152501506931887
2015-09,strajk,829,3318,0.24984930681133212779
2015-10,brak powodu,1761,2699,0.65246387550944794368
2015-10,inne pociagi,154,2699,0.05705816969247869581
2015-10,pogoda,130,2699,0.04816598740274175621
2015-10,strajk,654,2699,0.2423119673953316043
2015-11,brak powodu,1529,2202,0.69436875567665758401
2015-11,inne pociagi,20,2202,0.00908265213442325159
2015-11,pogoda,91,2202,0.04132606721162579473
2015-11,strajk,562,2202,0.25522252497729336966
2015-12,brak powodu,111,141,0.78723404255319148936
2015-12,pogoda,20,141,0.14184397163120567376
2015-12,strajk,10,141,0.07092198581560283688
2016-01,brak powodu,111,141,0.78723404255319148936
2016-01,pogoda,19,141,0.13475177304964539007
2016-01,strajk,11,141,0.07801418439716312057
2016-02,brak powodu,146,199,0.73366834170854271357
2016-02,pogoda,32,199,0.16080402010050251256
2016-02,strajk,21,199,0.10552763819095477387
2016-03,brak powodu,178,222,0.8018018018018018018
2016-03,pogoda,29,222,0.13063063063063063063
2016-03,strajk,15,222,0.06756756756756756757
2016-04,brak powodu,180,267,0.67415730337078651685
2016-04,pogoda,56,267,0.20973782771535580524
2016-04,strajk,31,267,0.1161048689138576779
2016-05,brak powodu,227,358,0.6340782122905027933
2016-05,pogoda,113,358,0.31564245810055865922
2016-05,strajk,18,358,0.05027932960893854749
2016-06,brak powodu,75,142,0.52816901408450704225
2016-06,pogoda,49,142,0.34507042253521126761
2016-06,strajk,18,142,0.12676056338028169014
2016-07,brak powodu,100,165,0.60606060606060606061
2016-07,pogoda,45,165,0.27272727272727272727
2016-07,strajk,20,165,0.12121212121212121212
2016-08,brak powodu,91,134,0.67910447761194029851
2016-08,pogoda,19,134,0.14179104477611940299
2016-08,strajk,24,134,0.17910447761194029851
2016-09,brak powodu,144,211,0.68246445497630331754
2016-09,pogoda,22,211,0.10426540284360189573
2016-09,strajk,45,211,0.21327014218009478673
2016-10,brak powodu,119,220,0.54090909090909090909
2016-10,pogoda,13,220,0.05909090909090909091
2016-10,strajk,88,220,0.4
2016-11,brak powodu,184,212,0.86792452830188679245
2016-11,pogoda,12,212,0.05660377358490566038
2016-11,strajk,16,212,0.07547169811320754717
2016-12,brak powodu,79,620,0.12741935483870967742
2016-12,pogoda,528,620,0.85161290322580645161
2016-12,strajk,13,620,0.02096774193548387097
2017-01,brak powodu,113,663,0.17043740573152337858
2017-01,pogoda,535,663,0.80693815987933634992
2017-01,strajk,15,663,0.02262443438914027149
2017-02,brak powodu,123,686,0.17930029154518950437
2017-02,pogoda,533,686,0.77696793002915451895
2017-02,strajk,30,686,0.04373177842565597668
2017-03,brak powodu,109,565,0.19292035398230088496
2017-03,pogoda,387,565,0.68495575221238938053
2017-03,strajk,69,565,0.12212389380530973451
2017-04,brak powodu,196,605,0.32396694214876033058
2017-04,pogoda,391,605,0.64628099173553719008
2017-04,strajk,18,605,0.02975206611570247934
2017-05,brak powodu,148,731,0.20246238030095759234
2017-05,pogoda,549,731,0.75102599179206566347
2017-05,strajk,34,731,0.04651162790697674419
2017-06,brak powodu,130,745,0.17449664429530201342
2017-06,pogoda,587,745,0.78791946308724832215
2017-06,strajk,28,745,0.03758389261744966443
2017-07,brak powodu,184,689,0.26705370101596516691
2017-07,pogoda,451,689,0.65457184325108853411
2017-07,strajk,54,689,0.07837445573294629898
2017-08,brak powodu,126,433,0.2909930715935334873
2017-08,pogoda,291,433,0.67205542725173210162
2017-08,strajk,16,433,0.03695150115473441109
2017-09,brak powodu,90,380,0.23684210526315789474
2017-09,pogoda,267,380,0.70263157894736842105
2017-09,strajk,23,380,0.06052631578947368421
2017-10,brak powodu,67,340,0.19705882352941176471
2017-10,inne pociagi,1,340,0.00294117647058823529
2017-10,pogoda,251,340,0.73823529411764705882
2017-10,strajk,21,340,0.06176470588235294118
2017-11,brak powodu,37,306,0.12091503267973856209
2017-11,pogoda,250,306,0.8169934640522875817
2017-11,strajk,19,306,0.06209150326797385621
2017-12,brak powodu,28,319,0.08777429467084639498
2017-12,pogoda,286,319,0.89655172413793103448
2017-12,strajk,5,319,0.01567398119122257053
2018-01,brak powodu,49,340,0.14411764705882352941
2018-01,pogoda,265,340,0.77941176470588235294
2018-01,strajk,26,340,0.07647058823529411765
2018-02,brak powodu,23,107,0.21495327102803738318
2018-02,pogoda,71,107,0.6635514018691588785
2018-02,strajk,13,107,0.12149532710280373832
